Time,elec_prod_bio_gas_cogen,elec_prod_fuel_cell_cogen,elec_prod_hydro_reservoir,elec_prod_hydro_run_of_river,elec_prod_lignite,elec_prod_photovoltaic,elec_prod_wind_offshore,elec_prod_wind_onshore,elec_prod_wood_chips_cogen,heat_prod_bio_gas_cogen,heat_prod_fuel_cell_cogen,heat_prod_municipal_waste,heat_prod_wood_chips_cogen
2020,0.0,0.0,0.0,0.0,0.0,117880000.0,0.0,0.0,0.0,0.0,0.0,947079000.0000005,0.0
2021,0.0,0.0,0.0,0.0,0.0,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600000000.0,0.0
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600000000.0,0.0
2024,0.0,0.0,0.0,0.0,0.0,454516000.0000002,0.0,0.0,0.0,0.0,0.0,213900000.0,0.0
2025,0.0,0.0,0.0,0.0,0.0,1000000000.0,0.0,0.0,0.0,0.0,0.0,110019000.0,0.0
2026,0.0,0.0,0.0,0.0,0.0,21794508.82138045,0.0,0.0,0.0,0.0,0.0,777108000.0,0.0
2027,94295667.60622202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,582747225.806452,0.0,751893999.9999995,0.0
2028,156854045.30744338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,969358000.0,0.0,0.0,0.0
2029,193426537.2168285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1195376000.0,0.0,0.0,0.0
2030,25587702.26537217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158132000.0,0.0,0.0,0.0
2031,35369255.66343042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218582000.0,0.0,0.0,0.0
2033,8473139.158576053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52364000.0,0.0,0.0,0.0
2034,4884466.019417476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30186000.0,0.0,0.0,0.0
2043,0.0,79639999.99999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286703999.9999998,0.0,0.0
